"趋势","搜索量","已开始","已结束","趋势细分","浏览链接"
"lindsey graham","2万+","2026年6月22日 UTC+8 02:00:00",,"lindsey graham","./explore?q=lindsey%20graham&geo=US"
"geno smith","1万+","2026年6月22日 UTC+8 09:00:00",,"geno smith","./explore?q=geno%20smith&geo=US"
"aaron wiggins","2万+","2026年6月22日 UTC+8 10:20:00",,"aaron wiggins,aaron wiggins trade,nba news,atlanta hawks","./explore?q=aaron%20wiggins&geo=US"
"liberty vs sparks","2万+","2026年6月22日 UTC+8 07:10:00",,"liberty vs sparks,nneka ogwumike,new york liberty,la sparks,ny liberty,rae burrell,rebecca lobo","./explore?q=liberty%20vs%20sparks&geo=US"
"prince harry father's day photo","1万+","2026年6月22日 UTC+8 06:40:00",,"prince harry father's day photo","./explore?q=prince%20harry%20father%27s%20day%20photo&geo=US"
"abelardo de la espriella","5万+","2026年6月22日 UTC+8 05:40:00",,"abelardo de la espriella,colombia elections,colombian presidential election results,colombian elections,colombia elections 2026,colombian presidential elections,colombia presidential election,gustavo petro,colombia election,colombian presidential election,colombia election results","./explore?q=abelardo%20de%20la%20espriella&geo=US"
"jason crow bill pulte criticism","1万+","2026年6月22日 UTC+8 03:10:00",,"jason crow bill pulte criticism","./explore?q=jason%20crow%20bill%20pulte%20criticism&geo=US"
"spain national football team vs saudi arabia national football team standings","20万+","2026年6月22日 UTC+8 00:30:00","2026年6月22日 UTC+8 10:20:00","spain national football team vs saudi arabia national football team standings,spain world cup,lamine yamal,spain,spain saudi arabia,españa vs,spain vs,spain national football team,spain game,yamal,saudi arabia vs spain,ksa,spain match,saudi arabia,spain vs saudi,spain vs saudi arabia world cup 2026,ksa world cup,spain fc,spain soccer,spain national football team vs saudi arabia national football team lineups,esp vs ksa,saudi arabia national football team,spain score,saudi vs spain,yamal lamine,pedro porro,spain game today,espana vs,spain vs ksa,pau cubarsí,spain v saudi arabia,spain saudi,spain fifa,who is spain playing today,whos playing today world cup,aymeric laporte,ksa soccer,ksa soccer team,spain wc,arabia saudita,hassan altambakti,lamin yamal,yamal soccer player,where is spain playing today,alex baena,lamine yamal goal,how old is yamal,salem aldawsari,where is lamine yamal from,spain national team,atlanta stadium,esp,world cup spain,cubarsi,spain national football team games,spain saudi arabia prediction,saudi arabia football,spain team,yamal spain,spain vs saudi world cup,spain world cup squad,spain lineup,where is spain vs saudi arabia,spain yamal","./explore?q=spain%20national%20football%20team%20vs%20saudi%20arabia%20national%20football%20team%20standings&geo=US"
"koco","2,000+","2026年6月22日 UTC+8 14:20:00",,"koco,weather okc,koco weather,kfor weather","./explore?q=koco&geo=US"
"love island usa season 8","2万+","2026年6月22日 UTC+8 08:50:00","2026年6月22日 UTC+8 15:20:00","love island usa season 8,casa amor,casa amor love island,what episode of love island is on tonight,where to watch love island usa,what time does love island come out,what time is love island on tonight,amora love island,love island casa amor,casa amor love island season 8,casa amor girls season 8","./explore?q=love%20island%20usa%20season%208&geo=US"
"okc weather","1,000+","2026年6月22日 UTC+8 14:10:00",,"okc weather,koco 5","./explore?q=okc%20weather&geo=US"
"gisele bündchen","2万+","2026年6月22日 UTC+8 02:00:00","2026年6月22日 UTC+8 15:00:00","gisele bündchen,father","./explore?q=gisele%20b%C3%BCndchen&geo=US"
"sam burns","2万+","2026年6月22日 UTC+8 02:40:00","2026年6月22日 UTC+8 11:20:00","sam burns,burns golfer,sam burns golfer","./explore?q=sam%20burns&geo=US"
"argentina vs austria prediction","5,000+","2026年6月22日 UTC+8 11:00:00",,"argentina vs austria prediction,austria world cup,argentina vs austria world cup 2026","./explore?q=argentina%20vs%20austria%20prediction&geo=US"
"who won the us open","10万+","2026年6月22日 UTC+8 06:40:00","2026年6月22日 UTC+8 12:20:00","who won the us open,wyndham clark controversy,wyndham clark locker room,where is the us open this year,who won the us open 2026,pga us open,u.s. open golf,2026 u.s. open,wyndham clark oakmont,us open scores,us open winner,usopen,us open standings,where is wyndham clark from,us open live,golf,how old is wyndham clark,shinnecock hills,who won us open,what did wyndham clark do at oakmont,what did wyndham clark do last year,us open results,wyndham clark dad,us open golf 2026,wyndham clark major wins,clark golfer,where is the us open being played,where is us open being played,has wyndham clark won a major,us open winners,where is the us open,wyndham clark wins,usopen golf,wyndham clark majors,what did wyndham clark do last year at oakmont,wyndom clark,windham clark,wyndham.clark,wyndham clark father,is open golf,clark us open,wyndham clark locker,who won us open golf 2026,wyndham,us open location 2026","./explore?q=who%20won%20the%20us%20open&geo=US"
"trump frequent number 22 usage","5万+","2026年6月21日 UTC+8 20:00:00","2026年6月22日 UTC+8 09:50:00","trump frequent number 22 usage","./explore?q=trump%20frequent%20number%2022%20usage&geo=US"
"taylor sheridan yellowstone spinoff","2万+","2026年6月22日 UTC+8 03:50:00","2026年6月22日 UTC+8 14:10:00","taylor sheridan yellowstone spinoff","./explore?q=taylor%20sheridan%20yellowstone%20spinoff&geo=US"
"news 9 okc","500+","2026年6月22日 UTC+8 14:20:00",,"news 9 okc","./explore?q=news%209%20okc&geo=US"
"mets vs phillies","5万+","2026年6月22日 UTC+8 07:10:00","2026年6月22日 UTC+8 11:10:00","mets vs phillies,phillies game,juan soto,phillies vs mets,brandon marsh,jhoan duran","./explore?q=mets%20vs%20phillies&geo=US"
"us open payout","5万+","2026年6月22日 UTC+8 04:50:00","2026年6月22日 UTC+8 12:20:00","us open payout,us open purse,us open payout 2026,us open purse 2026,us open prize money,us open payouts,us open prize money 2026,us open winner purse,how much does the winner of the us open get,wyndham clark caddie,us open purse breakdown,us open winnings,2026 us open payout,purse for us open,payout for us open,us open golf payout,us open golf purse,prize money for us open,how much does the us open golf winner get,how much did wyndham clark win today,us open purse breakdown 2026","./explore?q=us%20open%20payout&geo=US"
